序号,分类,所属模块,源端,目标域名,协议,目标端口,用途,开放类型,配置来源,备注
1,生产运行,自定义情报,Backend,qianfan.baidubce.com,HTTPS,443,POST /v2/ai_search/web_search 百度普通网页搜索,长期,backend/api/qianfan_search.py; backend/api/custom_intelligence_store.py,代码固定使用 web_search；.env.example 中的 Endpoint 字段为旧示例且未被实际代码读取
2,生产运行,LLM,Backend / Worker,api.deepseek.com,HTTPS,443,OpenAI-compatible chat.completions：招采 LLM、匹配复核、AI 分析、App Watch、自定义情报,按配置,backend/config/llm_api_config.json; backend/llm_table/llm_client.py,当前工作区 fallback Base URL；生产可由 override 替换
3,生产运行,LLM（自建候选）,Backend / Worker,cscocrm.csco.com.cn,HTTPS,11443,OpenAI-compatible 自建 DeepSeek chat.completions,按配置,backend/config/llm_api_config.example.json; backend/llm_table/llm_client.py,示例/候选地址，不是当前 fallback；若在内网则不申请外网；IP、证书和连通性待确认
4,生产运行,邮件,Backend,smtp.126.com,SMTP over TLS,465,SMTP_SSL 发送研究简报/情报日报,长期,backend/api/config.py; backend/api/intelligence_email.py,默认开启但仍需配置 126 邮箱、发件地址和客户端授权码；HTTP Proxy 不适用，需要直连或公司 SMTP Relay
5,生产运行,招采,Backend / Scraper,www.cfcpn.com,HTTP,80,公告列表/详情 POST 及附件下载代理,长期,backend/python-http-www-cfcpn-com-jcw/cfcpn_scraper/models.py; client.py; parser.py,生产明确使用 HTTP 非加密访问
6,生产运行,招采,Backend / Worker,www.cs.ecitic.com,HTTPS,443,中信证券公告列表和详情,长期,backend/broker_sources/sources.json; backend/broker_sources/collectors/citic.py,GET；常规重定向最终域名需上线前核对
7,生产运行,招采,Backend / Worker,www.hx168.com.cn,HTTPS,443,华西证券 /servlet/json 列表 API及公告详情,长期,backend/broker_sources/sources.json; backend/broker_sources/collectors/huaxi.py,列表 POST、详情 GET；常规重定向最终域名需上线前核对
8,生产运行,招采,Backend / Worker,www.csco.com.cn,HTTPS,443,世纪证券 /Handler/ContentHandler.aspx 公告 API,长期,backend/broker_sources/sources.json; backend/broker_sources/collectors/century.py,不要与 cscocrm.csco.com.cn 自建 LLM 混淆
9,生产运行,App更新,Backend / App Watch,www.guosen.com.cn,HTTPS,443,国信证券软件列表 API,按功能启用,backend/config/broker_app_watch/brokers.yaml,实际请求 fetch_url
10,生产运行,App更新,Backend / App Watch,sj.qq.com,HTTPS,443,广发/华泰/中信/世纪证券 QQ 应用商店详情页,按功能启用,backend/config/broker_app_watch/brokers.yaml,页面 OCR 还会下载响应中的截图资源
11,生产运行,App更新,Backend / App Watch,wap.newone.com.cn,HTTPS,443,招商证券 /static/config.json,按功能启用,backend/config/broker_app_watch/brokers.yaml,实际请求 fetch_url
12,生产运行,App更新,Backend / App Watch,m.stock.pingan.com,HTTPS,443,平安证券配置 API,按功能启用,backend/config/broker_app_watch/brokers.yaml,生产 backend.Dockerfile 默认禁用 pazq；启用后还需动态图片 CDN
