broker_folder,markdown_file,document_sha1,processed_at,raw_json_path,broker_name,publish_date,announcement_stage,procurement_category,project_subcategory,project_name,procurement_method,procurement_action,procurement_scope_summary,budget_amount_yuan,ceiling_price_yuan,winning_amount_yuan,bid_deadline_at,service_period_months,delivery_period_days,winning_supplier
boci_securities,110d71e3bcc3816b2f1a3760.md,88ae310bc0c03c7038cad9fd8dfbfdc6aefe4594,2026-06-25T08:25:12.250904+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\boci_securities\110d71e3bcc3816b2f1a3760.json,中银国际证券,,采购招标,其他,工程装修与物业,中银证券烟台营业部办公场地装修,邀请招标,,,,,,,,,
boci_securities,4df9730a995603860629cc82.md,9630e793567c149aa679a8c9862185696eeb21ba,2026-06-25T08:25:12.250628+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\boci_securities\4df9730a995603860629cc82.json,中银国际证券,,采购招标,IT软硬件,网络与信息安全,中银国际证券股份有限公司SDWAN产品国产化改造项目【SDWAN控制器软件License】,竞争性谈判,,,,,,,,,
boci_securities,593035416f7c7ca79d37c0a4.md,070a5a764703abce9998ea82f0fd17e24c8f12f1,2026-06-25T08:25:12.251391+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\boci_securities\593035416f7c7ca79d37c0a4.json,中银证券,,采购招标,专业及金融服务,人力与外包服务,中银证券驾驶员外包服务整合采购项目（第二次）,竞争性磋商,,,,,,,,,
boci_securities,6c28548ef543894119b34706.md,b9bcc0ac52dfb754268f58e37522308af738e0dc,2026-06-25T08:25:12.250851+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\boci_securities\6c28548ef543894119b34706.json,中银国际证券,2026-05-19,采购招标,专业及金融服务,法律与合规服务,中银国际证券股份有限公司关于聘请律师事务所为公募基金产品管理相关事宜提供法律服务项目,公开招标,,,,,,,,,
boci_securities,770c184f0574c7c0b1cbbcbc.md,dbdb3b43ad08ba832ea838c80460609e5aa05420,2026-06-25T08:25:12.253728+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\boci_securities\770c184f0574c7c0b1cbbcbc.json,中银国际证券,,采购招标,其他,行政与办公后勤,上海虹口区东长治路证券营业部采购保洁服务,公开招标,,,,,,,,,
boci_securities,abf3ad55e9ecb623e3724a10.md,fade5f90737392766150a3a3232ab43ac5eba1e3,2026-06-25T08:25:12.252210+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\boci_securities\abf3ad55e9ecb623e3724a10.json,中银国际证券,,采购招标,其他,工程装修与物业,深圳龙翔大道营业部扩租办公场所装修工程项目,公开招标,,,,,,,,,
boci_securities,b9bd45543855c5c43de292e2.md,2c9188caee067580f32cbbd14c67bca05bb97adb,2026-06-25T08:25:12.253154+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\boci_securities\b9bd45543855c5c43de292e2.json,中银国际证券,2026-05-27,采购招标,IT软硬件,基础算力与云存储,中银证券2026年数据备份介质统一采购项目,询价,,,,,,,,,
boci_securities,dfd6056cd2f5366dffc5e1c7.md,f19b20461660b0f1b1cb93164328bd36c53a95e7,2026-06-25T08:25:12.256198+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\boci_securities\dfd6056cd2f5366dffc5e1c7.json,中银证券,,采购招标,专业及金融服务,人力与外包服务,中银证券驾驶员外包服务整合采购项目,竞争性磋商,,,,,,,,,
boci_securities,eb456effca8105d6e8048c35.md,2fb32d7a5d0d09065d82b97acac78dc86c38cda3,2026-06-25T08:25:12.256095+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\boci_securities\eb456effca8105d6e8048c35.json,中银国际证券,,采购招标,专业及金融服务,法律与合规服务,中银证券聘请非诉讼常年法律顾问项目,竞争性磋商,,,,,,,,,
caitong_securities,063f439230bc970e85fc7213.md,75429fd4568d591ef2ef6482f5fcd211e3ce6ab7,2026-06-25T08:25:12.256014+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\063f439230bc970e85fc7213.json,财通证券,2026-06-05,结果公示,专业及金融服务,营销与投研数据,2026年资讯及日常运营内容采购项目,单一来源,,,,,,,,,上海财联社金融科技有限公司
caitong_securities,0f6247d06feabd528b987e11.md,5d9f3d02b3f671735874eda23f5438c71cea49c3,2026-06-25T08:25:12.257523+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\0f6247d06feabd528b987e11.json,财通证券,2026-06-12,结果公示,专业及金融服务,营销与投研数据,2026年继续采购同花顺股票热度因子数据项目,单一来源,,,,,,,,,浙江同花顺智能科技有限公司
caitong_securities,100f5a025833ae213d59821c.md,9e77ca547a756c10c2601eb8cf3643461419919a,2026-06-25T08:25:12.257605+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\100f5a025833ae213d59821c.json,财通证券,2026-06-24,结果公示,其他,其他未分类,财通证券2026年工会会员文旅消费券采购项目,公开招标,,,,,,,,,杭州福之福电子商务有限公司
caitong_securities,15c788f7297a3aba94284080.md,bcbb84e1516e1026636c1b501ccd10e31c83590e,2026-06-25T08:25:12.260849+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\15c788f7297a3aba94284080.json,财通证券,2026-06-23,结果公示,其他,行政与办公后勤,财通证券股份有限公司2026—2028年上海富汇大厦绿植租摆采购项目,公开招标,,,,,,,,,上海坤石园林绿化工程有限公司
caitong_securities,2c315268a3d25cd4852e921d.md,f4a5ca76960c06c48d8d5703263c5e4cabb693c9,2026-06-25T08:25:12.261645+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\2c315268a3d25cd4852e921d.json,财通证券,2026-06-23,结果公示,专业及金融服务,营销与投研数据,财通证券2026年危机公关咨询服务项目,公开招标,,,,,296000,,,,北京中视正宣文化发展有限公司
caitong_securities,3a92e47e47d3765742a84c05.md,2e92032ea99c72d0baa4f903a34ca3c5c77f29c9,2026-06-25T08:25:12.261134+00:00,D:\Auto_capture_info\documents\structured_announcements\raw_json\caitong_securities\3a92e47e47d3765742a84c05.json,财通证券,2026-06-16,采购招标,专业及金融服务,法律与合规服务,2026年常年法律顾问供应商入围项目,公开招标,,,,,,,,,
